"location","date","daily_average"
"Belgium",2020-04-13,1035.528
"France",2020-04-14,6425.74
"Ireland",2020-04-14,500
"Netherlands",2020-04-14,384
"Belgium",2020-04-14,1035.528
"France",2020-04-15,6425.74
"Ireland",2020-04-15,500
"Netherlands",2020-04-15,384
"Belgium",2020-04-15,1035.528
"France",2020-04-16,6425.74
"Ireland",2020-04-16,500
"Netherlands",2020-04-16,384
"Belgium",2020-04-16,1035.528
"France",2020-04-17,6425.74
"Ireland",2020-04-17,500
"Netherlands",2020-04-17,384
"Belgium",2020-04-17,1035.528
"France",2020-04-18,6425.74
"Ireland",2020-04-18,500
"Netherlands",2020-04-18,384
"Belgium",2020-04-18,1035.528
"France",2020-04-19,6425.74
"Ireland",2020-04-19,500
"Netherlands",2020-04-19,384
"Belgium",2020-04-19,1035.528
"France",2020-04-20,6425.74
"Ireland",2020-04-20,500
"Netherlands",2020-04-20,384
"Belgium",2020-04-20,1035.528
"France",2020-04-21,6425.74
"Ireland",2020-04-21,500
"Netherlands",2020-04-21,384
"Belgium",2020-04-21,1035.528
"France",2020-04-22,6425.74
"Ireland",2020-04-22,500
"Netherlands",2020-04-22,384
"Belgium",2020-04-22,1035.528
"France",2020-04-23,6425.74
"Ireland",2020-04-23,500
"Netherlands",2020-04-23,384
"Belgium",2020-04-23,1035.528
"France",2020-04-24,6425.74
"Ireland",2020-04-24,500
"Netherlands",2020-04-24,384
"Belgium",2020-04-24,1035.528
"France",2020-04-25,6425.74
"Ireland",2020-04-25,500
"Netherlands",2020-04-25,384
"Belgium",2020-04-25,1035.528
"France",2020-04-26,6425.74
"Ireland",2020-04-26,500
"Netherlands",2020-04-26,384
"Belgium",2020-04-26,1035.528
"France",2020-04-27,6425.74
"Ireland",2020-04-27,500
"Netherlands",2020-04-27,384
"Belgium",2020-04-27,1035.528
"France",2020-04-28,6425.74
"Ireland",2020-04-28,500
"Netherlands",2020-04-28,384
"Belgium",2020-04-28,1035.528
"France",2020-04-29,6425.74
"Ireland",2020-04-29,500
"Netherlands",2020-04-29,384
"Belgium",2020-04-29,1035.528
"France",2020-04-30,6425.74
"Ireland",2020-04-30,500
"Netherlands",2020-04-30,384
"Belgium",2020-04-30,1035.528
