"cluster_size","tmrca_date","mean_lag_estimate","ix","lag_lower_bound","lag_upper_bound"
2,79,15.1758093136996,510,0,57
2,79,15.1758093136996,511,0,57
2,79,15.1758093136996,512,0,57
2,79,15.1758093136996,513,0,57
2,79,15.1758093136996,514,0,57
2,79,15.1758093136996,515,0,57
2,79,15.1758093136996,516,0,57
2,79,15.1758093136996,517,0,57
2,79,15.1758093136996,518,0,57
2,79,15.1758093136996,519,0,57
2,79,15.1758093136996,520,0,57
2,79,15.1758093136996,521,0,57
2,79,15.1758093136996,522,0,57
2,79,15.1758093136996,523,0,57
3,79,10.3568874472331,524,0,40
3,79,10.3568874472331,525,0,40
3,79,10.3568874472331,526,0,40
3,79,10.3568874472331,527,0,40
3,79,10.3568874472331,528,0,40
3,79,10.3568874472331,529,0,40
3,79,10.3568874472331,530,0,40
4,79,7.94742651399983,531,0,31
4,79,7.94742651399983,532,0,31
4,79,7.94742651399983,533,0,31
4,79,7.94742651399983,534,0,31
4,79,7.94742651399983,535,0,31
5,79,6.50174995405987,536,0,25
6,79,5.53796558076657,537,0,22
6,79,5.53796558076657,538,0,22
6,79,5.53796558076657,539,0,22
6,79,5.53796558076657,540,0,22
7,79,4.84954817127135,541,0,19
7,79,4.84954817127135,542,0,19
10,79,3.61039683417995,543,0,15
10,79,3.61039683417995,544,0,15
11,79,3.34754655055451,545,0,14
18,79,2.32535100312221,546,0,10
21,79,2.09587853329047,547,0,9
26,79,1.83110260656154,548,0,8
86,79,1.05524756544886,549,0,5
2,80,15.1758093136996,550,0,57
2,80,15.1758093136996,551,0,57
2,80,15.1758093136996,552,0,57
2,80,15.1758093136996,553,0,57
2,80,15.1758093136996,554,0,57
2,80,15.1758093136996,555,0,57
2,80,15.1758093136996,556,0,57
2,80,15.1758093136996,557,0,57
2,80,15.1758093136996,558,0,57
3,80,10.3568874472331,559,0,40
3,80,10.3568874472331,560,0,40
3,80,10.3568874472331,561,0,40
3,80,10.3568874472331,562,0,40
3,80,10.3568874472331,563,0,40
3,80,10.3568874472331,564,0,40
4,80,7.94742651399983,565,0,31
4,80,7.94742651399983,566,0,31
4,80,7.94742651399983,567,0,31
5,80,6.50174995405987,568,0,25
6,80,5.53796558076657,569,0,22
8,80,4.33323511414993,570,0,17
10,80,3.61039683417995,571,0,15
12,80,3.1285046475333,572,0,13
13,80,2.94316149882305,573,0,12
14,80,2.78429594278569,574,0,12
15,80,2.64661246088665,575,0,11
22,80,2.03329513242727,576,0,9
2,81,15.1758093136996,577,0,57
2,81,15.1758093136996,578,0,57
2,81,15.1758093136996,579,0,57
2,81,15.1758093136996,580,0,57
2,81,15.1758093136996,581,0,57
2,81,15.1758093136996,582,0,57
2,81,15.1758093136996,583,0,57
2,81,15.1758093136996,584,0,57
2,81,15.1758093136996,585,0,57
2,81,15.1758093136996,586,0,57
2,81,15.1758093136996,587,0,57
2,81,15.1758093136996,588,0,57
2,81,15.1758093136996,589,0,57
2,81,15.1758093136996,590,0,57
2,81,15.1758093136996,591,0,57
3,81,10.3568874472331,592,0,40
3,81,10.3568874472331,593,0,40
3,81,10.3568874472331,594,0,40
3,81,10.3568874472331,595,0,40
3,81,10.3568874472331,596,0,40
3,81,10.3568874472331,597,0,40
3,81,10.3568874472331,598,0,40
4,81,7.94742651399983,599,0,31
4,81,7.94742651399983,600,0,31
5,81,6.50174995405987,601,0,25
5,81,6.50174995405987,602,0,25
5,81,6.50174995405987,603,0,25
6,81,5.53796558076657,604,0,22
6,81,5.53796558076657,605,0,22
7,81,4.84954817127135,606,0,19
8,81,4.33323511414993,607,0,17
9,81,3.93165829194439,608,0,16
9,81,3.93165829194439,609,0,16
10,81,3.61039683417995,610,0,15
10,81,3.61039683417995,611,0,15
11,81,3.34754655055451,612,0,14
11,81,3.34754655055451,613,0,14
11,81,3.34754655055451,614,0,14
14,81,2.78429594278569,615,0,12
17,81,2.41983966717057,616,0,10
18,81,2.32535100312221,617,0,10
19,81,2.24080851423683,618,0,9
20,81,2.16472027423999,619,0,9
23,81,1.97615376642174,620,0,9
2,82,15.1758093136996,621,0,57
2,82,15.1758093136996,622,0,57
2,82,15.1758093136996,623,0,57
2,82,15.1758093136996,624,0,57
2,82,15.1758093136996,625,0,57
2,82,15.1758093136996,626,0,57
2,82,15.1758093136996,627,0,57
2,82,15.1758093136996,628,0,57
2,82,15.1758093136996,629,0,57
2,82,15.1758093136996,630,0,57
3,82,10.3568874472331,631,0,40
3,82,10.3568874472331,632,0,40
3,82,10.3568874472331,633,0,40
3,82,10.3568874472331,634,0,40
3,82,10.3568874472331,635,0,40
3,82,10.3568874472331,636,0,40
3,82,10.3568874472331,637,0,40
4,82,7.94742651399983,638,0,31
4,82,7.94742651399983,639,0,31
4,82,7.94742651399983,640,0,31
4,82,7.94742651399983,641,0,31
5,82,6.50174995405987,642,0,25
5,82,6.50174995405987,643,0,25
5,82,6.50174995405987,644,0,25
5,82,6.50174995405987,645,0,25
5,82,6.50174995405987,646,0,25
6,82,5.53796558076657,647,0,22
6,82,5.53796558076657,648,0,22
7,82,4.84954817127135,649,0,19
7,82,4.84954817127135,650,0,19
7,82,4.84954817127135,651,0,19
7,82,4.84954817127135,652,0,19
7,82,4.84954817127135,653,0,19
7,82,4.84954817127135,654,0,19
8,82,4.33323511414993,655,0,17
8,82,4.33323511414993,656,0,17
9,82,3.93165829194439,657,0,16
9,82,3.93165829194439,658,0,16
11,82,3.34754655055451,659,0,14
13,82,2.94316149882305,660,0,12
15,82,2.64661246088665,661,0,11
18,82,2.32535100312221,662,0,10
2,83,15.1758093136996,663,0,57
2,83,15.1758093136996,664,0,57
2,83,15.1758093136996,665,0,57
2,83,15.1758093136996,666,0,57
2,83,15.1758093136996,667,0,57
2,83,15.1758093136996,668,0,57
2,83,15.1758093136996,669,0,57
2,83,15.1758093136996,670,0,57
2,83,15.1758093136996,671,0,57
3,83,10.3568874472331,672,0,40
3,83,10.3568874472331,673,0,40
3,83,10.3568874472331,674,0,40
3,83,10.3568874472331,675,0,40
3,83,10.3568874472331,676,0,40
3,83,10.3568874472331,677,0,40
3,83,10.3568874472331,678,0,40
3,83,10.3568874472331,679,0,40
3,83,10.3568874472331,680,0,40
5,83,6.50174995405987,681,0,25
5,83,6.50174995405987,682,0,25
6,83,5.53796558076657,683,0,22
6,83,5.53796558076657,684,0,22
6,83,5.53796558076657,685,0,22
7,83,4.84954817127135,686,0,19
7,83,4.84954817127135,687,0,19
11,83,3.34754655055451,688,0,14
13,83,2.94316149882305,689,0,12
2,84,15.1758093136996,690,0,57
2,84,15.1758093136996,691,0,57
2,84,15.1758093136996,692,0,57
2,84,15.1758093136996,693,0,57
2,84,15.1758093136996,694,0,57
2,84,15.1758093136996,695,0,57
2,84,15.1758093136996,696,0,57
2,84,15.1758093136996,697,0,57
2,84,15.1758093136996,698,0,57
3,84,10.3568874472331,699,0,40
3,84,10.3568874472331,700,0,40
3,84,10.3568874472331,701,0,40
3,84,10.3568874472331,702,0,40
3,84,10.3568874472331,703,0,40
3,84,10.3568874472331,704,0,40
3,84,10.3568874472331,705,0,40
4,84,7.94742651399983,706,0,31
4,84,7.94742651399983,707,0,31
4,84,7.94742651399983,708,0,31
4,84,7.94742651399983,709,0,31
4,84,7.94742651399983,710,0,31
4,84,7.94742651399983,711,0,31
5,84,6.50174995405987,712,0,25
6,84,5.53796558076657,713,0,22
6,84,5.53796558076657,714,0,22
6,84,5.53796558076657,715,0,22
7,84,4.84954817127135,716,0,19
7,84,4.84954817127135,717,0,19
8,84,4.33323511414993,718,0,17
9,84,3.93165829194439,719,0,16
11,84,3.34754655055451,720,0,14
11,84,3.34754655055451,721,0,14
12,84,3.1285046475333,722,0,13
20,84,2.16472027423999,723,0,9
20,84,2.16472027423999,724,0,9
21,84,2.09587853329047,725,0,9
22,84,2.03329513242727,726,0,9
23,84,1.97615376642174,727,0,9
41,84,1.42425179231953,728,0,6
2,85,15.1758093136996,729,0,57
2,85,15.1758093136996,730,0,57
2,85,15.1758093136996,731,0,57
2,85,15.1758093136996,732,0,57
2,85,15.1758093136996,733,0,57
2,85,15.1758093136996,734,0,57
2,85,15.1758093136996,735,0,57
2,85,15.1758093136996,736,0,57
3,85,10.3568874472331,737,0,40
3,85,10.3568874472331,738,0,40
3,85,10.3568874472331,739,0,40
3,85,10.3568874472331,740,0,40
3,85,10.3568874472331,741,0,40
3,85,10.3568874472331,742,0,40
3,85,10.3568874472331,743,0,40
3,85,10.3568874472331,744,0,40
3,85,10.3568874472331,745,0,40
4,85,7.94742651399983,746,0,31
4,85,7.94742651399983,747,0,31
5,85,6.50174995405987,748,0,25
5,85,6.50174995405987,749,0,25
7,85,4.84954817127135,750,0,19
7,85,4.84954817127135,751,0,19
7,85,4.84954817127135,752,0,19
7,85,4.84954817127135,753,0,19
7,85,4.84954817127135,754,0,19
9,85,3.93165829194439,755,0,16
10,85,3.61039683417995,756,0,15
12,85,3.1285046475333,757,0,13
12,85,3.1285046475333,758,0,13
17,85,2.41983966717057,759,0,10
21,85,2.09587853329047,760,0,9
2,86,15.1758093136996,761,0,57
2,86,15.1758093136996,762,0,57
2,86,15.1758093136996,763,0,57
2,86,15.1758093136996,764,0,57
