"location","date","daily_average","total_air_travels","non_air_num","estimate"
"Bulgaria",2020-02-26,0.0117020382352107,208000,0,2434.02395292383
"Burkina Faso",2020-02-26,3.37034900163735e-05,208000,0,7.01032592340569
"Burundi",2020-02-26,9.19186091355641e-06,208000,0,1.91190707001973
"Cambodia",2020-02-26,0.000424690617281418,208000,0,88.3356483945349
"Cameroon",2020-02-26,0.000106172654320354,208000,0,22.0839120986336
"Canada",2020-02-26,0.00804061363797736,208000,0,1672.44763669929
"Cape Verde",2020-02-26,0.00207469625895257,208000,0,431.536821862135
"Cayman Islands",2020-02-26,0.000146936559241344,208000,0,30.5628043221996
"Central African Rep",2020-02-26,5.59504577346912e-06,208000,0,1.16376952088158
"Chad",2020-02-26,2.57105674828462e-05,208000,0,5.34779803643201
"Chile",2020-02-26,0.000758661563807301,208000,0,157.801605271919
"China",2020-02-26,0.00468358617389589,208000,0,974.185924170345
"Colombia",2020-02-26,0.000789434315561381,208000,0,164.202337636767
"Comoros",2020-02-26,1.33215375558789e-06,208000,0,0.277087981162281
"Congo (Brazzaville)",2020-02-26,5.11547042145748e-05,208000,0,10.6401784766316
"Congo (Kinshasa)",2020-02-26,7.46006103129216e-05,208000,0,15.5169269450877
"Cook Islands",2020-02-26,5.19539964679275e-06,208000,0,1.08064312653289
"Costa Rica",2020-02-26,0.000960083211652189,208000,0,199.697308023655
"Cote D'Ivoire",2020-02-26,0.000148135497621373,208000,0,30.8121835052456
"Croatia",2020-02-26,0.00101923083840029,208000,0,212.00001438726
"Cuba",2020-02-26,0.000604664589661341,208000,0,125.770234649559
"Curacao",2020-02-26,7.89967177063616e-05,208000,0,16.4313172829232
"Cyprus",2020-02-26,0.0065906974903955,208000,0,1370.86507800226
"Czech Republic",2020-02-26,0.0113693994424404,208000,0,2364.8350840276
"Denmark",2020-02-26,0.0152734092385662,208000,0,3176.86912162177
"Djibouti",2020-02-26,4.20960586765772e-05,208000,0,8.75598020472806
"Dominica",2020-02-26,5.44850886035445e-05,208000,0,11.3328984295373
"Dominican Rep",2020-02-26,0.00160431276785449,208000,0,333.697055713734
"Ecuador",2020-02-26,0.000232860476476762,208000,0,48.4349791071665
"Egypt",2020-02-26,0.00457754673495109,208000,0,952.129720869827
"El Salvador",2020-02-26,2.81084442429044e-05,208000,0,5.84655640252412
"Equatorial Guinea",2020-02-26,6.26112265126306e-05,208000,0,13.0231351146272
"Eritrea",2020-02-26,4.32949970566063e-05,208000,0,9.00535938777411
"Estonia",2020-02-26,0.00133894773974138,208000,0,278.501129866207
"Ethiopia",2020-02-26,0.000458793753424468,208000,0,95.4291007122893
"Falkland Islands",2020-02-26,0.000156528066281577,208000,0,32.557837786568
"Faroe Islands",2020-02-26,4.51600123144293e-05,208000,0,9.39328256140129
"Fiji",2020-02-26,4.60925199433408e-05,208000,0,9.58724414821489
"Finland",2020-02-26,0.00563207964787446,208000,0,1171.47256675789
"France",2020-02-26,0.0510258849464095,208000,26136.8965517241,36750.2806205773
"French Polynesia",2020-02-26,5.32861502235154e-06,208000,0,1.10835192464912
"Gabon",2020-02-26,5.96804882503373e-05,208000,0,12.4135415560702
"Gambia",2020-02-26,0.000240720183634731,208000,0,50.069798196024
"Georgia",2020-02-26,0.000282816242311308,208000,0,58.8257784007521
"Germany",2020-02-26,0.0570085874627546,208000,0,11857.786192253
"Ghana",2020-02-26,0.0013330862632168,208000,0,277.281942749094
"Gibraltar",2020-02-26,0.00178521924786333,208000,0,371.325603555573
"Greece",2020-02-26,0.0077631260106884,208000,0,1614.73021022319
"Greenland",2020-02-26,1.33215375558789e-07,208000,0,0.0277087981162281
"Grenada",2020-02-26,0.000457061953542204,208000,0,95.0688863367784
"Guadeloupe",2020-02-26,2.78420134917868e-05,208000,0,5.79113880629165
"Guam",2020-02-26,1.09236607958207e-05,208000,0,2.27212144553071
"Guatemala",2020-02-26,5.91476267481021e-05,208000,0,12.3027063636052
"Guernsey",2020-02-26,0.00280231864025468,208000,0,582.882277172973
"Guinea",2020-02-26,2.86413057451395e-05,208000,0,5.95739159498902
"Guinea-Bissau",2020-02-26,2.39787676005819e-06,208000,0,0.498758366092104
"Guyana",2020-02-26,0.000121492422509615,208000,0,25.2704238819999
"Haiti",2020-02-26,3.06395363785214e-06,208000,0,0.637302356673245
"Honduras",2020-02-26,1.54529835648195e-05,208000,0,3.21422058148246
"Hong Kong (SAR)",2020-02-26,0.00380156717232115,208000,0,790.725971842799
"Hungary",2020-02-26,0.0132285532237388,208000,0,2751.53907053767
"Iceland",2020-02-26,0.00742742326428026,208000,0,1544.90403897029
"India",2020-02-26,0.0217993640564402,208000,0,4534.26772373956
"Indonesia",2020-02-26,0.00149880619041193,208000,0,311.751687605681
"Iran",2020-02-26,0.000278819781044544,208000,0,57.9945144572652
"Iraq",2020-02-26,0.00112154024682944,208000,0,233.280371340524
"Ireland",2020-02-26,0.0591894563760276,208000,1965.5172413793,14276.924167593
"Isle of Man",2020-02-26,0.003474923071451,208000,0,722.783998861808
"Israel",2020-02-26,0.00568803010560915,208000,0,1183.1102619667
"Italy",2020-02-26,0.0617190831425134,208000,0,12837.5692936428
"Jamaica",2020-02-26,0.00269441418605206,208000,0,560.438150698829
"Japan",2020-02-26,0.00429832730777987,208000,0,894.052080018213
"Jersey",2020-02-26,0.00586320832446896,208000,0,1219.54733148954
"Jordan",2020-02-26,0.000623714388366248,208000,0,129.73259278018
"Kazakhstan",2020-02-26,0.000286279842075837,208000,0,59.5462071517741
"Kenya",2020-02-26,0.00175484614223592,208000,0,365.007997585071
"Korea (South)",2020-02-26,0.00186941136521648,208000,0,388.837563965028
"Kuwait",2020-02-26,0.00203752916917167,208000,0,423.806067187707
"Kyrgyzstan",2020-02-26,4.75578890744875e-05,208000,0,9.8920409274934
"Laos",2020-02-26,5.39522271013094e-05,208000,0,11.2220632370724
"Latvia",2020-02-26,0.00392106136419738,208000,0,815.580763753055
"Lebanon",2020-02-26,0.000627710849633012,208000,0,130.563856723667
"Lesotho",2020-02-26,3.99646126676366e-06,208000,0,0.831263943486841
"Liberia",2020-02-26,2.3312690722788e-05,208000,0,4.8490396703399
"Lithuania",2020-02-26,0.0061404295210068,208000,0,1277.20934036941
"Luxembourg",2020-02-26,0.00324619227161656,208000,0,675.207992496245
"Macao (SAR)",2020-02-26,3.19716901341093e-06,208000,0,0.665011154789473
"Macedonia",2020-02-26,0.000375933789826901,208000,0,78.1942282839954
"Madagascar",2020-02-26,2.62434289850813e-05,208000,0,5.45863322889691
"Malawi",2020-02-26,8.45917634798307e-05,208000,0,17.5950868038048
"Malaysia",2020-02-26,0.00272878375294622,208000,0,567.587020612814
"Maldives",2020-02-26,0.00213464317795403,208000,0,444.005781014438
"Mali",2020-02-26,3.51688591475202e-05,208000,0,7.3151227026842
"Malta",2020-02-26,0.00629522578740611,208000,0,1309.40696378047
"Martinique",2020-02-26,6.52755340238064e-06,208000,0,1.35773110769517
"Mauritania",2020-02-26,4.80907505767227e-05,208000,0,10.0028761199583
"Mauritius",2020-02-26,0.00142433879547457,208000,0,296.262469458711
"Mayotte",2020-02-26,6.66076877793943e-07,208000,0,0.13854399058114
"Mexico",2020-02-26,0.00412328230429562,208000,0,857.642719293489
"Moldova",2020-02-26,0.00116883170515281,208000,0,243.116994671784
"Mongolia",2020-02-26,2.67762904873165e-05,208000,0,5.56946842136183
"Montenegro",2020-02-26,0.000226332923074382,208000,0,47.0772479994715
"Morocco",2020-02-26,0.00811334923303246,208000,0,1687.57664047075
"Mozambique",2020-02-26,7.6199194819627e-05,208000,0,15.8494325224824
"Myanmar",2020-02-26,0.000268029335624283,208000,0,55.7501018098509
"Namibia",2020-02-26,9.9511885542415e-05,208000,0,20.6984721928223
"Nepal",2020-02-26,0.00102362694579373,208000,0,212.914404725096
"Netherlands",2020-02-26,0.0429048092215946,208000,1620.6896551724,10544.8899732641
"New Caledonia",2020-02-26,4.88900428300754e-05,208000,0,10.1691289086557
"New Zealand",2020-02-26,0.00295924635266293,208000,0,615.523241353889
"Nicaragua",2020-02-26,1.74512141982013e-05,208000,0,3.62985255322587
"Niger",2020-02-26,2.55773521072874e-05,208000,0,5.32008923831578
"Nigeria",2020-02-26,0.00322660961140942,208000,0,671.134799173159
"North Mariana Isl",2020-02-26,7.99292253352731e-07,208000,0,0.166252788697368
"Norway",2020-02-26,0.0142421890163656,208000,0,2962.37531540405
"Oman",2020-02-26,0.0008730935714123,208000,0,181.603462853758
"Pakistan",2020-02-26,0.00696037015757114,208000,0,1447.7569927748
"Palau",2020-02-26,6.66076877793943e-07,208000,0,0.13854399058114
"Panama",2020-02-26,0.00021887286204309,208000,0,45.5255553049627
"Papua New Guinea",2020-02-26,6.26112265126306e-06,208000,0,1.30231351146272
"Paraguay",2020-02-26,2.66430751117577e-05,208000,0,5.5417596232456
"Peru",2020-02-26,0.000365409775157757,208000,0,76.0052332328135
"Philippines",2020-02-26,0.00212678347079606,208000,0,442.37096192558
"Poland",2020-02-26,0.0433466846223231,208000,0,9016.1104014432
"Portugal",2020-02-26,0.027694011209541,208000,0,5760.35433158453
"Puerto Rico",2020-02-26,0.000263100366728607,208000,0,54.7248762795503
"Qatar",2020-02-26,0.0022304250329808,208000,0,463.928406860006
"Reunion",2020-02-26,1.73179988226425e-06,208000,0,0.360214375510964
"Romania",2020-02-26,0.0166339378691481,208000,0,3459.8590767828
"Russia",2020-02-26,0.00450281290926261,208000,0,936.585085126623
"Rwanda",2020-02-26,0.000124822806898585,208000,0,25.9631438349057
"Samoa",2020-02-26,1.33215375558789e-07,208000,0,0.0277087981162281
"Sao Tome-Principe",2020-02-26,7.46006103129216e-06,208000,0,1.55169269450877
"Saudi Arabia",2020-02-26,0.00444539708239677,208000,0,924.642593138528
"Senegal",2020-02-26,0.000178508603248777,208000,0,37.1297894757456
"Serbia",2020-02-26,0.00115031476795014,208000,0,239.265471733629
"Seychelles",2020-02-26,0.000295604918364952,208000,0,61.48582301991
"Sierra Leone",2020-02-26,0.000174112495855337,208000,0,36.2153991379101
"Singapore",2020-02-26,0.003685669795585,208000,0,766.61931748168
"Slovakia",2020-02-26,0.00327749788487287,208000,0,681.719560053557
"Slovenia",2020-02-26,0.000869629971647772,208000,0,180.883034102737
"Solomon Islands",2020-02-26,0,208000,0,0
"Somalia",2020-02-26,0.00022540041544547,208000,0,46.8832864126578
"South Africa",2020-02-26,0.00782613688332771,208000,0,1627.83647173216
"South Sudan",2020-02-26,2.97070287496098e-05,208000,0,6.17906197991884
"Spain",2020-02-26,0.144927804593293,208000,0,30144.9833554049
"Sri Lanka",2020-02-26,0.00254361438091951,208000,0,529.071791231258
"St Barthelemy",2020-02-26,1.09236607958207e-05,208000,0,2.27212144553071
"St Helena",2020-02-26,0,208000,0,0
