state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
7780500	-3645.0298768586154	-426.3323572033472	-3218.697519655268	433.0	1.296012605390632	1.2960126053906353	0.9904020354057022	0.888351213749194	0.0	810.0	367.0	456.0	814.0
7785000	-3631.918154938312	-400.41518561572275	-3231.5029693225893	256.0	1.2094584295203576	1.2094584295203663	2.764294215176677	2.8068464885972086	0.0	810.0	350.0	459.0	812.0
7789500	-3703.836357880121	-434.80511503893945	-3269.031242841181	323.0	1.3203470070080567	1.3203470070080607	0.38847386214034557	0.42160170478789516	0.0	838.0	406.0	431.0	838.0
7794000	-3618.786761689055	-436.0371923919267	-3182.7495692971283	437.0	1.2909715320313708	1.2909715320313786	2.393547463556503	2.112949488150635	0.0	806.0	356.0	459.0	814.0
7798500	-3656.520373693863	-420.24815294473495	-3236.272220749128	379.0	1.2647793422115563	1.2647793422115503	1.4265317008107623	1.493805956474827	0.0	827.0	383.0	441.0	817.0
7803000	-3635.2485511007553	-431.53589711131804	-3203.712653989437	457.0	1.2912416014249215	1.2912416014249213	2.7336493651759612	2.5556081932609676	0.0	819.0	380.0	441.0	815.0
7807500	-3599.6025882514978	-407.8491854365282	-3191.7534028149694	128.0	1.2112291604501608	1.2112291604501608	1.2263613115345124	1.3726362105838874	0.0	815.0	396.0	420.0	821.0
7812000	-3632.877097738471	-402.4331946205071	-3230.443903117964	36.0	1.236208083239236	1.23620808323923	0.2808647506636393	0.3942985500668804	0.0	814.0	382.0	418.0	806.0
7816500	-3641.318349701893	-405.5358572100267	-3235.7824924918664	75.0	1.2269697419371601	1.226969741937155	2.3598191713143493	2.11565417458744	0.0	825.0	349.0	468.0	821.0
7821000	-3601.185297865007	-393.8292729519794	-3207.356024913028	43.0	1.1963230743001214	1.1963230743001227	0.2658101216946952	0.2903465174496519	0.0	818.0	397.0	418.0	820.0
7825500	-3618.3669565530163	-421.9986396771475	-3196.368316875869	125.0	1.258746283833714	1.2587462838337165	1.0400471161250042	0.8575760347208056	0.0	813.0	357.0	453.0	805.0
7830000	-3616.8149076082377	-432.29713305983677	-3184.517774548401	419.0	1.3139910598698548	1.3139910598698537	1.8544292022204456	1.8049538972336694	0.0	808.0	361.0	455.0	810.0
7834500	-3630.846231975074	-427.9795357523011	-3202.8666962227726	52.0	1.2601017948354851	1.2601017948354916	3.1895412211765435	2.9960569384194318	0.0	808.0	369.0	444.0	810.0
7839000	-3611.2887394102604	-407.4157593429663	-3203.872980067294	61.0	1.2573873139899605	1.2573873139899683	1.1977881845148943	1.1272605230045776	0.0	801.0	344.0	454.0	803.0
7843500	-3631.202339754532	-412.75088313923754	-3218.451456615295	156.0	1.2340051370040495	1.2340051370040472	1.1067696427463853	0.9087244629434209	0.0	809.0	375.0	428.0	799.0
7848000	-3636.521516980746	-379.88297499153873	-3256.638541989207	3.0	1.145255454434377	1.1452554544343723	0.6038946957111533	0.6637631705045023	0.0	822.0	387.0	440.0	822.0
7852500	-3596.589365704117	-412.3099021664007	-3184.2794635377163	349.0	1.2175507539026538	1.2175507539026542	2.9225193316321594	2.786078416470114	0.0	808.0	371.0	433.0	810.0
7857000	-3665.603490248129	-409.71588800232905	-3255.8876022458003	428.0	1.2290183453280477	1.229018345328051	1.0702945746307921	1.1156873658066548	0.0	823.0	363.0	470.0	835.0
7861500	-3620.7410638947777	-407.27345042404585	-3213.467613470732	255.0	1.2301903633492193	1.230190363349221	1.6546347125489467	1.5122395876146233	0.0	827.0	352.0	466.0	807.0
7866000	-3583.004141183519	-387.347091191965	-3195.6570499915542	69.0	1.1640600892233266	1.1640600892233262	2.1484242935241293	1.831668867777304	0.0	808.0	331.0	455.0	792.0
7870500	-3688.502883320987	-387.86012463743407	-3300.642758683553	404.0	1.1652146009964353	1.1652146009964426	2.1907348184268427	2.901082675777105	0.0	840.0	453.0	394.0	834.0
7875000	-3673.559862743486	-402.32172638039873	-3271.2381363630875	30.0	1.2222796839565446	1.2222796839565533	1.382614744855101	2.113618235761634	0.0	819.0	437.0	391.0	817.0
7879500	-3673.086393432052	-437.24020314545953	-3235.8461902865924	188.0	1.302153926406049	1.3021539264060527	1.708804564535512	1.9266027260432288	0.0	822.0	399.0	441.0	832.0
7884000	-3628.858825789098	-422.3678352473867	-3206.490990541711	408.0	1.2572549528184755	1.2572549528184769	2.8973827299861803	2.9383920972886535	0.0	806.0	387.0	434.0	816.0
7888500	-3618.378820528597	-373.70678461174936	-3244.6720359168476	320.0	1.1162638980540895	1.116263898054089	1.3356671672789144	1.0676307949771011	0.0	809.0	369.0	444.0	811.0
7893000	-3614.8079977521666	-391.1240991271556	-3223.683898625011	25.0	1.1777733654607703	1.1777733654607787	0.6213046129094334	0.5309896888502031	0.0	802.0	343.0	462.0	806.0
7897500	-3672.441430662715	-395.2349576292695	-3277.2064730334455	277.0	1.1969701011133902	1.196970101113385	0.6748591324323109	0.6839262999490399	0.0	823.0	368.0	439.0	805.0
7902000	-3657.0852219985986	-388.0384277772603	-3269.046794221338	414.0	1.1785803366624898	1.1785803366624956	1.7036250009872493	1.2823000273946945	0.0	808.0	348.0	477.0	808.0
7906500	-3658.3231220922025	-435.8139805083156	-3222.509141583887	106.0	1.3160154841719003	1.3160154841719143	0.2572581544968561	0.24683336847404222	0.0	833.0	381.0	446.0	823.0
7911000	-3714.6459326733307	-424.3088328848804	-3290.3370997884504	392.0	1.2903693579458237	1.2903693579458102	2.010421832770731	1.6735895895729498	0.0	823.0	347.0	480.0	841.0
7915500	-3645.768329686215	-410.38779559312735	-3235.3805340930876	434.0	1.2255647042549416	1.2255647042549433	3.6231882488864566	3.0931985131279536	0.0	831.0	369.0	468.0	841.0
7920000	-3636.4286156406197	-422.2120525848493	-3214.21656305577	112.0	1.2740743278538376	1.2740743278538347	0.34320784033804774	0.35023264065964893	0.0	814.0	393.0	418.0	810.0
7924500	-3591.423144277613	-406.96777321259844	-3184.455371065015	261.0	1.2248576515993963	1.224857651599398	0.3423325096248626	0.2661666761223412	0.0	817.0	347.0	462.0	815.0
7929000	-3674.4247721343727	-385.03145632350817	-3289.3933158108644	277.0	1.1669209865918404	1.1669209865918428	0.5795127393530632	0.5326761784042205	0.0	795.0	357.0	453.0	815.0
7933500	-3584.913827826228	-351.01181027934035	-3233.9020175468877	413.0	1.0570703621254953	1.0570703621254913	0.15099655623519348	0.14592624334239476	0.0	781.0	359.0	439.0	791.0
7938000	-3689.467328453042	-389.88789220395375	-3299.579436249088	22.0	1.1977084466772037	1.1977084466772108	0.2991461729022772	0.30515444403129943	0.0	824.0	367.0	451.0	824.0
7942500	-3573.510818700651	-391.20520636581705	-3182.3056123348338	216.0	1.1605279256792802	1.1605279256792813	1.063591751343514	1.1797906788189987	0.0	802.0	383.0	428.0	804.0
7947000	-3622.274894758962	-424.5202973175539	-3197.7545974414084	28.0	1.284896254976691	1.284896254976707	0.8658318023112467	0.9976630162596136	0.0	823.0	405.0	418.0	815.0
7951500	-3701.8371609218348	-408.8916965293173	-3292.9454643925174	346.0	1.2178449678577585	1.2178449678577667	1.2490220368624965	1.4845821128016792	0.0	827.0	393.0	448.0	827.0
7956000	-3609.0742786176997	-391.93936269902326	-3217.1349159186766	352.0	1.1767032955947456	1.176703295594755	1.7662506127125173	1.7474165121026346	0.0	793.0	372.0	436.0	801.0
7960500	-3598.298775882304	-427.8381458521336	-3170.4606300301707	139.0	1.2628749901502108	1.2628749901502128	1.6834278138920815	1.6705678278621305	0.0	823.0	383.0	447.0	835.0
7965000	-3654.7760943853636	-422.62613799866574	-3232.149956386698	290.0	1.2792710769135909	1.2792710769135889	0.9980814769472233	0.9261060067774376	0.0	820.0	343.0	469.0	818.0
7969500	-3594.9870220373555	-405.74510297567394	-3189.2419190616815	139.0	1.2032177654382892	1.2032177654383065	0.7826030364172196	0.6598233391663739	0.0	806.0	370.0	448.0	806.0
7974000	-3638.655930936667	-406.67998243594684	-3231.9759485007203	237.0	1.2084737431008301	1.2084737431008326	3.203014581019722	3.205242985450451	0.0	820.0	399.0	428.0	822.0
7978500	-3658.214450560389	-384.4465814762845	-3273.767869084105	248.0	1.1807748441321384	1.1807748441321306	0.3508531329521943	0.3113905860662231	0.0	815.0	353.0	459.0	815.0
7983000	-3670.8547054820247	-401.67365886884147	-3269.1810466131833	135.0	1.2071255881880607	1.2071255881880647	2.5598507194090394	2.484726753371102	0.0	828.0	376.0	454.0	818.0
7987500	-3680.979663784951	-417.25139659066343	-3263.7282671942876	363.0	1.252924021564546	1.2529240215645472	0.9448940573258511	0.8920584736360476	0.0	836.0	357.0	481.0	828.0
7992000	-3605.7691999017848	-413.26242279510774	-3192.506777106677	352.0	1.2488739178669648	1.248873917866977	0.4255684721701704	0.4201938649450807	0.0	806.0	384.0	426.0	810.0
7996500	-3591.0388448347	-402.2316697851234	-3188.8071750495765	107.0	1.2062941035107746	1.2062941035107733	1.3662490005209758	1.4196734592016205	0.0	826.0	389.0	426.0	808.0
8001000	-3588.6388990887053	-428.4979135957439	-3160.1409854929616	123.0	1.2780896360128733	1.2780896360128617	2.0607603323319688	2.0594455864548062	0.0	813.0	369.0	439.0	795.0
8005500	-3616.874863064796	-404.5979550277162	-3212.27690803708	409.0	1.2289299658351578	1.2289299658351542	1.3359480811836482	1.4267214694322505	0.0	802.0	403.0	417.0	816.0
8010000	-3627.818716829599	-418.64722995292806	-3209.1714868766708	114.0	1.2338079006244387	1.2338079006244365	0.9484995690523182	1.0094656901838448	0.0	802.0	357.0	466.0	814.0
8014500	-3652.865486300737	-426.428702381142	-3226.4367839195947	366.0	1.2774794910413023	1.2774794910413052	0.9404826568593171	0.8914899453175963	0.0	816.0	386.0	430.0	816.0
8019000	-3658.4818869885485	-391.6686745892661	-3266.8132123992823	272.0	1.1722131433137224	1.172213143313726	1.7101557449201135	1.4361250356262087	0.0	828.0	353.0	467.0	814.0
8023500	-3693.4194603276887	-393.85270516478084	-3299.566755162908	215.0	1.173539498705246	1.1735394987052539	2.6193159558828847	2.4999396757242085	0.0	833.0	365.0	471.0	825.0
8028000	-3626.3222231687573	-392.8769754153223	-3233.445247753435	399.0	1.1895371498003695	1.1895371498003657	0.6544804606751089	0.6886749007956767	0.0	827.0	352.0	462.0	827.0
8032500	-3616.9099386281405	-376.3259739540179	-3240.5839646741224	95.0	1.1450459783482954	1.1450459783483087	0.25214215970485193	0.23624562329603221	0.0	806.0	368.0	440.0	808.0
8037000	-3632.313096524714	-406.08151225834143	-3226.231584266373	493.0	1.2168729525634148	1.2168729525634119	1.9600452488155213	1.9874609556737088	0.0	846.0	382.0	443.0	834.0
8041500	-3629.8174752803257	-397.1350123028127	-3232.682462977513	456.0	1.1762092983922308	1.1762092983922263	3.221899903419397	3.0744788813241795	0.0	811.0	363.0	456.0	815.0
8046000	-3623.833277728437	-406.13208841297404	-3217.701189315463	412.0	1.2332557619676483	1.2332557619676514	1.2470682369894075	1.161160104122461	0.0	798.0	360.0	442.0	798.0
8050500	-3625.9887604240753	-401.72336231269793	-3224.265398111377	390.0	1.2041848694891903	1.2041848694891808	1.0821827609458459	1.109531027761963	0.0	823.0	379.0	432.0	807.0
8055000	-3660.923095200887	-447.3267175777366	-3213.5963776231506	250.0	1.3449284948560993	1.3449284948561158	2.423151836815701	2.3326278427764193	0.0	836.0	393.0	439.0	824.0
8059500	-3685.9410337547542	-384.8885591908151	-3301.052474563939	263.0	1.164994908588584	1.1649949085885745	1.0421889215823108	0.9900600300478875	0.0	805.0	349.0	461.0	809.0
8064000	-3623.341223902552	-417.5900804639788	-3205.7511434385733	406.0	1.2498864626543271	1.2498864626543287	2.163582645228414	2.5374323702009356	0.0	801.0	380.0	422.0	799.0
8068500	-3636.882203561994	-415.6444716943495	-3221.2377318676445	492.0	1.2525425075523962	1.2525425075523986	2.5609672832823165	2.0448527970070716	0.0	804.0	355.0	445.0	800.0
8073000	-3598.2184318208715	-418.78658217504574	-3179.431849645826	384.0	1.249982766491887	1.2499827664918821	0.19412000236682264	0.19966608121205756	0.0	817.0	374.0	439.0	817.0
8077500	-3613.4600995176525	-423.0520393028535	-3190.408060214799	320.0	1.2662349589438964	1.2662349589439024	0.772505311119757	0.7218440054588641	0.0	811.0	370.0	447.0	823.0
8082000	-3620.05038090509	-402.8703478411994	-3217.1800330638907	105.0	1.2226598550933498	1.2226598550933523	0.2589043791008795	0.25935538463200236	0.0	824.0	352.0	460.0	816.0
8086500	-3631.087163837576	-385.7430431116551	-3245.344120725921	11.0	1.1688792441433478	1.1688792441433506	0.42384821226538616	0.38763121715243787	0.0	812.0	348.0	464.0	824.0
8091000	-3641.609670255799	-440.2202686185871	-3201.389401637212	160.0	1.3202909374784566	1.3202909374784508	0.5985739908807906	0.5665792111279003	0.0	819.0	350.0	469.0	813.0
8095500	-3615.883911449117	-414.16231504640984	-3201.7215964027073	453.0	1.2426598156018496	1.2426598156018656	2.3469442605254542	2.1190008056049137	0.0	813.0	368.0	449.0	811.0
8100000	-3634.0522747936934	-418.5940756338244	-3215.458199159869	230.0	1.2546811250589984	1.2546811250589975	0.9702815059048159	0.8781482624262318	0.0	813.0	327.0	491.0	825.0
8104500	-3651.2072711076157	-392.62633516950103	-3258.5809359381146	176.0	1.2074038639491844	1.207403863949182	0.8772052418166226	0.91025008499526	0.0	803.0	374.0	423.0	795.0
8109000	-3611.6909119671914	-389.55357111089864	-3222.1373408562927	164.0	1.1965717090564203	1.196571709056418	0.08808655589245978	0.0869246625533204	0.0	816.0	351.0	457.0	808.0
8113500	-3613.434174676702	-406.1521601402828	-3207.282014536419	316.0	1.2353349888679181	1.2353349888679193	0.41567804060327534	0.47462113163939257	0.0	820.0	370.0	454.0	820.0
8118000	-3728.9913516145552	-413.21171034862897	-3315.7796412659263	425.0	1.248455380750534	1.248455380750537	1.1594568793153215	1.105570811860831	0.0	834.0	386.0	462.0	828.0
8122500	-3634.6549043203568	-426.2789896721259	-3208.3759146482307	230.0	1.2745445250238183	1.27454452502383	1.5053563176453342	1.3873128718284367	0.0	811.0	337.0	475.0	797.0
8127000	-3613.869873798715	-403.72968756326736	-3210.140186235448	45.0	1.2311851835389411	1.231185183538946	0.70407550858316	0.507168130494937	0.0	813.0	337.0	471.0	811.0
8131500	-3702.0652874770685	-426.4202869358198	-3275.645000541249	254.0	1.2716097720349815	1.2716097720349862	1.031934777748249	0.8219327789652772	0.0	824.0	336.0	480.0	824.0
8136000	-3604.09596682585	-414.7163016307101	-3189.37966519514	210.0	1.2494659136449706	1.2494659136449717	1.571734370780772	1.6839464508418844	0.0	808.0	387.0	423.0	808.0
8140500	-3685.3287271444015	-408.9421426341572	-3276.386584510244	263.0	1.237430690985509	1.2374306909855182	1.1137116386688801	0.9971360390095024	0.0	820.0	383.0	440.0	824.0
8145000	-3583.0561125692902	-418.280668677259	-3164.7754438920315	271.0	1.2458244640920357	1.2458244640920368	0.5609631705400826	0.4429266002031842	0.0	818.0	363.0	453.0	806.0
