state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
1660500	-450.78013853659206	-28.801168623226104	-421.978969913366	424.0	0.2529165629706483	0.2529165629706482	0.0694653777599047	1.2814711801658505	0.0	84.0	83.0	1.0	84.0
1665000	-407.42907987379544	-26.300041413598482	-381.12903846019697	73.0	0.2330869241940043	0.2330869241940047	0.07404205521107696	1.101728779817695	0.0	74.0	69.0	5.0	74.0
1669500	-431.7097326185336	-28.92920441703495	-402.78052820149867	343.0	0.24786681060295435	0.24786681060295446	0.24488755969739792	1.7263574936376769	0.0	75.0	71.0	4.0	75.0
1674000	-460.95037760439493	-28.020040210740284	-432.93033739365467	306.0	0.25027092656481975	0.25027092656481964	0.3734792392802252	0.8653810690102709	0.0	77.0	70.0	7.0	77.0
1678500	-418.1209317904012	-27.33795954061427	-390.7829722497869	137.0	0.23596649337197625	0.235966493371978	0.2150603155731969	2.1835548545425456	0.0	71.0	69.0	3.0	71.0
1683000	-428.41890936459436	-26.445139684689053	-401.97376967990533	268.0	0.23967141912139867	0.23967141912139767	0.08095038369412777	1.301077627221938	0.0	75.0	75.0	0.0	75.0
1687500	-444.99730413645506	-25.204241331533915	-419.79306280492114	381.0	0.21355609691128521	0.21355609691128574	0.20789368814848658	2.038493596310288	0.0	80.0	77.0	3.0	80.0
1692000	-435.0605618646739	-29.04898796095443	-406.01157390371947	202.0	0.253420157332942	0.2534201573329434	0.383363066780376	0.9319741669018142	0.0	73.0	65.0	8.0	73.0
1696500	-425.3103436971853	-37.21362744646814	-388.0967162507172	380.0	0.317756872834136	0.3177568728341363	0.30153889776574927	1.9024789566096623	0.0	75.0	74.0	1.0	75.0
1701000	-453.2677581719198	-30.49658503794603	-422.7711731339738	44.0	0.2621858036907891	0.26218580369078986	0.37440822632103354	2.062530778398455	0.0	79.0	73.0	6.0	79.0
1705500	-433.9834918108552	-32.866772889029214	-401.11671892182596	111.0	0.2785004199936135	0.27850041999361375	0.23677460648382356	2.155770985929617	0.0	76.0	71.0	3.0	74.0
1710000	-415.124389893289	-24.70201562360101	-390.42237426968796	310.0	0.20937458854100124	0.20937458854100172	0.01597758501376531	2.2132873167050997	0.0	73.0	72.0	1.0	73.0
1714500	-427.67362297157973	-27.293123570762102	-400.38049940081765	51.0	0.23152683259779624	0.2315268325977958	0.3466249647345522	1.5110870758456552	0.0	78.0	76.0	3.0	78.0
1719000	-426.40893457725633	-30.155785583394874	-396.2531489938615	280.0	0.2365890531476391	0.23658905314763926	0.39231532860018653	3.825976090267357	0.0	76.0	70.0	4.0	74.0
1723500	-421.45560986442564	-35.35213015222861	-386.10347971219704	20.0	0.28331128273376727	0.2833112827337676	0.6247984692454914	3.520064362004397	0.0	74.0	71.0	3.0	74.0
1728000	-421.3548998978451	-30.51804163397435	-390.83685826387074	146.0	0.26716434405335904	0.2671643440533582	0.27634803738352987	1.1110328020612341	0.0	73.0	69.0	4.0	73.0
1732500	-466.70058918153734	-36.383904240382236	-430.3166849411551	387.0	0.28867028703042785	0.2886702870304285	0.5426470479876361	3.8537775326917765	0.0	79.0	73.0	6.0	79.0
1737000	-440.1771329901711	-36.981345175446876	-403.19578781472427	318.0	0.3238514431516992	0.3238514431517007	0.14944682622660094	1.7104583302032739	0.0	79.0	77.0	2.0	79.0
1741500	-427.52397219534004	-27.657806352184476	-399.86616584315556	346.0	0.244296410420294	0.24429641042029357	0.055447571028071255	1.16108889629096	0.0	73.0	71.0	2.0	73.0
