cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
B_DTA_MCC_14,6,2020.12515431095,2020-02-16,2020.15573770492,2020.30327868852,B-DTA-20200818.combined.MCC.tree,0.5,2020.12515431095,2020.12515431095,2020.12515431095,2020.12515431095
B_DTA_MCC_140,2,2020.21415697518,2020-03-19,2020.23770491803,2020.23770491803,B-DTA-20200818.combined.MCC.tree,0.5,2020.21415697518,2020.21415697518,2020.21415697518,2020.21415697518
B_DTA_MCC_142,2,2020.23678435444,2020-03-28,2020.24316939891,2020.24316939891,B-DTA-20200818.combined.MCC.tree,0.5,2020.24311671107,2020.22105338535,2020.24311671107,2020.19881257382
B_DTA_MCC_143,2,2020.23098389439,2020-03-26,2020.23770491803,2020.24863387978,B-DTA-20200818.combined.MCC.tree,0.5,2020.23767072421,2020.20753071123,2020.23767072421,2020.19178847285
B_DTA_MCC_145,3,2020.23667368095,2020-03-28,2020.24316939891,2020.26775956284,B-DTA-20200818.combined.MCC.tree,0.5,2020.24295398605,2020.2177144317,2020.24297803563,2020.20274232078
B_DTA_MCC_15,3,2020.15423289434,2020-02-26,2020.15846994536,2020.16666666667,B-DTA-20200818.combined.MCC.tree,0.5,2020.15845185514,2020.14510966078,2020.15846197428,2020.13389552413
B_DTA_MCC_150,7,2020.18050448018,2020-03-07,2020.18579234973,2020.25683060109,B-DTA-20200818.combined.MCC.tree,0.5,2020.1857693652,2020.17040465701,2020.18578140041,2020.15713913386
B_DTA_MCC_152,2,2020.21015875619,2020-03-18,2020.22131147541,2020.24590163934,B-DTA-20200818.combined.MCC.tree,0.5,2020.21015875619,2020.21015875619,2020.21015875619,2020.21015875619
B_DTA_MCC_153,3,2020.20250721752,2020-03-15,2020.21038251366,2020.26229508197,B-DTA-20200818.combined.MCC.tree,0.5,2020.20250721752,2020.20250721752,2020.20250721752,2020.20250721752
B_DTA_MCC_154,7,2020.20506442725,2020-03-16,2020.21857923497,2020.27322404372,B-DTA-20200818.combined.MCC.tree,0.5,2020.20506442725,2020.20506442725,2020.20506442725,2020.20506442725
