sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/NORT-28472B/2020,UK,UK-ENG,B.1,2020-03-24,2020.22677595628,England/NORT-28472B/2020,B.1.pruned_DTA_MCC_200
England/NORT-284837/2020,UK,UK-ENG,B.1.5,2020-03-24,2020.22677595628,England/NORT-284837/2020,B.1.pruned_DTA_MCC_537
England/NORT-284B2F/2020,UK,UK-ENG,B.1.5,2020-03-26,2020.23224043716,England/NORT-284B2F/2020,B.1.pruned_DTA_MCC_515
England/NORT-284C1D/2020,UK,UK-ENG,B.1.5,2020-03-27,2020.2349726776,England/NORT-284C1D/2020,B.1.pruned_DTA_MCC_522
England/NORT-284C77/2020,UK,UK-ENG,B.1,2020-03-26,2020.23224043716,England/NORT-284C77/2020,B.1.pruned_DTA_MCC_200
England/NORT-284D83/2020,UK,UK-ENG,B.1.5,2020-03-27,2020.2349726776,England/NORT-284D83/2020,B.1.pruned_DTA_MCC_518
England/NORT-285423/2020,UK,UK-ENG,B.1.5,2020-05-01,2020.3306010929,England/NORT-285423/2020,B.1.pruned_DTA_MCC_518
England/NORT-288D8F/2020,UK,UK-ENG,B.1,2020-03-21,2020.21857923497,England/NORT-288D8F/2020,B.1.pruned_DTA_MCC_98
England/NORT-288D9E/2020,UK,UK-ENG,B.1.22,2020-03-22,2020.22131147541,England/NORT-288D9E/2020,B.1.pruned_DTA_MCC_538
England/NORT-288E6E/2020,UK,UK-ENG,B.1.5,2020-03-23,2020.22404371585,England/NORT-288E6E/2020,B.1.pruned_DTA_MCC_286
England/NORT-28902B/2020,UK,UK-ENG,B.1.5,2020-03-26,2020.23224043716,England/NORT-28902B/2020,B.1.pruned_DTA_MCC_539
England/NORT-289067/2020,UK,UK-ENG,B.1.5,2020-03-26,2020.23224043716,England/NORT-289067/2020,B.1.pruned_DTA_MCC_540
England/NORT-289191/2020,UK,UK-ENG,B.1.p11,2020-03-28,2020.23770491803,England/NORT-289191/2020,B.1.pruned_DTA_MCC_17
England/NORT-2891CE/2020,UK,UK-ENG,B.1.p11,2020-03-27,2020.2349726776,England/NORT-2891CE/2020,B.1.pruned_DTA_MCC_176
England/NORT-2891EC/2020,UK,UK-ENG,B.1,2020-03-27,2020.2349726776,England/NORT-2891EC/2020,B.1.pruned_DTA_MCC_461
England/NORT-289207/2020,UK,UK-ENG,B.1.p11,2020-03-28,2020.23770491803,England/NORT-289207/2020,B.1.pruned_DTA_MCC_176
