cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower,shift,tmrca_shifted,tmrca_shifted_calendar,detection_lag
B.1.pruned_DTA_MCC_453,4,2020.21042578471,2020-03-18,2020.22950819672,2020.35792349727,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22437861901,2020.19160182623,2020.22672599794,2020.17057307822,7.947409,2020.18871155247,2020-03-10,15
B.1.pruned_DTA_MCC_454,29,2020.2068150526,2020-03-17,2020.22677595628,2020.37978142077,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.2068150526,2020.2068150526,2020.2068150526,2020.2068150526,1.71601029310345,2020.20212649989,2020-03-15,9
B.1.pruned_DTA_MCC_455,6,2020.21202449233,2020-03-19,2020.22677595628,2020.32513661202,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22677529639,2020.1946257076,2020.22677529639,2020.18005640441,5.53793483333333,2020.19689352284,2020-03-13,11
B.1.pruned_DTA_MCC_458,6,2020.2045341894,2020-03-16,2020.20765027322,2020.29234972678,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.20764875279,2020.19510422408,2020.20764875279,2020.1864858813,5.53793483333333,2020.18940321991,2020-03-10,7
B.1.pruned_DTA_MCC_459,8,2020.23459187101,2020-03-27,2020.25409836066,2020.34699453552,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.24971242429,2020.21590921924,2020.25243404033,2020.20164858032,4.33319775,2020.2227525329,2020-03-23,11
B.1.pruned_DTA_MCC_46,3,2020.17087728267,2020-03-04,2020.17759562842,2020.26229508197,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.17720161202,2020.15702167387,2020.17751588014,2020.13163621758,10.3568831666667,2020.14257978768,2020-02-22,13
B.1.pruned_DTA_MCC_460,21,2020.20912723325,2020-03-18,2020.22677595628,2020.41803278689,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22424608008,2020.19180714707,2020.22670672976,2020.17591270877,2.09582888095238,2020.20340092483,2020-03-15,9
B.1.pruned_DTA_MCC_461,65,2020.20008669433,2020-03-14,2020.21038251366,2020.42076502732,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.20008669433,2020.20008669433,2020.20008669433,2020.20008669433,1.1638125,2020.19690687876,2020-03-13,5
B.1.pruned_DTA_MCC_463,3,2020.25212086291,2020-04-02,2020.25683060109,2020.31693989071,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25682938378,2020.23736922434,2020.25682938378,2020.21137410792,10.3568831666667,2020.22382336792,2020-03-23,12
B.1.pruned_DTA_MCC_467,3,2020.25230511307,2020-04-02,2020.26229508197,2020.30327868852,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26216529225,2020.23307536381,2020.26216529225,2020.19220758318,10.3568831666667,2020.22400761808,2020-03-23,14
B.1.pruned_DTA_MCC_468,2,2020.28626546929,2020-04-15,2020.29508196721,2020.32240437158,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.29507719235,2020.26248496854,2020.29507719235,2020.23766477405,15.1758315,2020.2448014488,2020-03-31,18
B.1.pruned_DTA_MCC_47,21,2020.167967705,2020-03-02,2020.17213114754,2020.38797814208,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.167967705,2020.167967705,2020.167967705,2020.167967705,2.09582888095238,2020.16224139658,2020-02-29,4
B.1.pruned_DTA_MCC_471,9,2020.21044505569,2020-03-18,2020.22404371585,2020.40163934426,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.2239668715,2020.18956245464,2020.2239668715,2020.17396527807,3.93161872222222,2020.19970292803,2020-03-14,9
B.1.pruned_DTA_MCC_473,5,2020.29700046367,2020-04-19,2020.31420765027,2020.33879781421,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.29700046367,2020.29700046367,2020.29700046367,2020.29700046367,6.5017245,2020.27923618908,2020-04-12,13
B.1.pruned_DTA_MCC_476,3,2020.23997462476,2020-03-29,2020.24043715847,2020.26775956284,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.23997462476,2020.23997462476,2020.23997462476,2020.23997462476,10.3568831666667,2020.21167712977,2020-03-18,11
B.1.pruned_DTA_MCC_477,21,2020.35721697718,2020-05-11,2020.39617486339,2020.45355191257,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.35721697718,2020.35721697718,2020.35721697718,2020.35721697718,2.09582888095238,2020.35149066876,2020-05-09,16
B.1.pruned_DTA_MCC_478,4,2020.40733261166,2020-05-29,2020.42076502732,2020.4262295082,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.41599743524,2020.39028903315,2020.41880690535,2020.37618388632,7.947409,2020.38561837942,2020-05-21,13
B.1.pruned_DTA_MCC_479,3,2020.31205101746,2020-04-24,2020.35792349727,2020.39890710383,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.34720531953,2020.30216411847,2020.34720531953,2020.30216411847,10.3568831666667,2020.28375352247,2020-04-14,27
B.1.pruned_DTA_MCC_48,165,2020.16705584149,2020-03-02,2020.18032786885,2020.42896174863,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.17550411749,2020.150674996,2020.17939272928,2020.14010428894,0.894220984848485,2020.16461261476,2020-03-01,6
B.1.pruned_DTA_MCC_482,2,2020.2325059716,2020-03-26,2020.25136612022,2020.27049180328,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.2507619288,2020.20151626875,2020.2507619288,2020.20151626875,15.1758315,2020.19104195111,2020-03-11,22
B.1.pruned_DTA_MCC_483,2,2020.23799795256,2020-03-28,2020.25136612022,2020.29234972678,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25023633196,2020.21261321093,2020.25085896202,2020.19173356559,15.1758315,2020.19653393207,2020-03-13,20
B.1.pruned_DTA_MCC_484,3,2020.24471025369,2020-03-31,2020.25409836066,2020.26775956284,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.24471025369,2020.24471025369,2020.24471025369,2020.24471025369,10.3568831666667,2020.2164127587,2020-03-20,14
B.1.pruned_DTA_MCC_486,4,2020.23078610411,2020-03-25,2020.24590163934,2020.33879781421,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.23078610411,2020.23078610411,2020.23078610411,2020.23078610411,7.947409,2020.20907187187,2020-03-18,13
B.1.pruned_DTA_MCC_487,2,2020.25844795762,2020-04-05,2020.26229508197,2020.2868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26170544953,2020.20258522529,2020.26213213754,2020.20258522529,15.1758315,2020.21698393713,2020-03-20,17
B.1.pruned_DTA_MCC_488,2,2020.24901583639,2020-04-01,2020.26229508197,2020.27049180328,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26223022973,2020.21702566959,2020.26223022973,2020.20427676061,15.1758315,2020.2075518159,2020-03-17,20
B.1.pruned_DTA_MCC_49,78,2020.16343738062,2020-03-01,2020.17486338798,2020.40983606557,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.17178951883,2020.15032025846,2020.17294598516,2020.14147568031,1.08967483333333,2020.16046012698,2020-02-29,5
B.1.pruned_DTA_MCC_490,2,2020.25667693121,2020-04-04,2020.25683060109,2020.26229508197,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.25667693121,2020.25063530201,2020.25667693121,2020.25063530201,15.1758315,2020.21521291072,2020-03-20,15
B.1.pruned_DTA_MCC_494,2,2020.25498545925,2020-04-03,2020.27049180328,2020.27322404372,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26966978814,2020.23331276103,2020.27039931761,2020.19971193843,15.1758315,2020.21352143876,2020-03-19,21
B.1.pruned_DTA_MCC_496,13,2020.23573618854,2020-03-27,2020.28142076503,2020.3087431694,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.26240704354,2020.19668695178,2020.2646009209,2020.18094895733,2.9431165,2020.22769488663,2020-03-24,20
B.1.pruned_DTA_MCC_497,2,2020.20663021209,2020-03-17,2020.2131147541,2020.2868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.20663021209,2020.20663021209,2020.20663021209,2020.20663021209,15.1758315,2020.1651661916,2020-03-01,18
B.1.pruned_DTA_MCC_498,2,2020.28339154515,2020-04-14,2020.28961748634,2020.30054644809,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.28959526667,2020.263931505,2020.28959526667,2020.23813684885,15.1758315,2020.24192752466,2020-03-30,17
B.1.pruned_DTA_MCC_506,3,2020.21771302892,2020-03-21,2020.25136612022,2020.30054644809,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.24560186725,2020.18644340222,2020.24979282201,2020.16572997724,10.3568831666667,2020.18941553393,2020-03-10,23
B.1.pruned_DTA_MCC_510,4,2020.18248303819,2020-03-08,2020.19398907104,2020.25956284153,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.18248303819,2020.18248303819,2020.18248303819,2020.18248303819,7.947409,2020.16076880595,2020-02-29,12
B.1.pruned_DTA_MCC_515,3,2020.20590582959,2020-03-16,2020.21038251366,2020.24043715847,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.21032290681,2020.1925419801,2020.2103610055,2020.18475399492,10.3568831666667,2020.1776083346,2020-03-06,12
B.1.pruned_DTA_MCC_516,4,2020.21027241967,2020-03-18,2020.2131147541,2020.26229508197,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.21027241967,2020.21027241967,2020.21027241967,2020.21027241967,7.947409,2020.18855818743,2020-03-10,9
B.1.pruned_DTA_MCC_518,50,2020.19645848893,2020-03-13,2020.21857923497,2020.42076502732,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.20954048997,2020.18201467883,2020.21335442462,2020.16925550019,1.2972603,2020.19291406188,2020-03-12,9
B.1.pruned_DTA_MCC_519,2,2020.2144157185,2020-03-19,2020.22404371585,2020.26229508197,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22377493341,2020.2023505227,2020.22402495168,2020.18970363182,15.1758315,2020.17295169801,2020-03-04,19
B.1.pruned_DTA_MCC_520,3,2020.21906434092,2020-03-21,2020.23224043716,2020.25956284153,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.23037709618,2020.20688855219,2020.23163666162,2020.19222128538,10.3568831666667,2020.19076684593,2020-03-11,15
B.1.pruned_DTA_MCC_522,9,2020.20817438346,2020-03-17,2020.23224043716,2020.25956284153,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22286692053,2020.19114530969,2020.22802648366,2020.17965820225,3.93161872222222,2020.1974322558,2020-03-13,13
B.1.pruned_DTA_MCC_523,7,2020.20654329639,2020-03-17,2020.23770491803,2020.28961748634,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.21905392104,2020.18710553047,2020.22291613435,2020.18710553047,4.84951364285714,2020.19329325911,2020-03-12,16
B.1.pruned_DTA_MCC_524,12,2020.20580750222,2020-03-16,2020.22950819672,2020.33879781421,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.20580750222,2020.20580750222,2020.20580750222,2020.20580750222,3.12846066666667,2020.19725979548,2020-03-13,12
B.1.pruned_DTA_MCC_526,9,2020.19066621032,2020-03-11,2020.21857923497,2020.30054644809,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.2094205393,2020.17833659143,2020.20969217197,2020.17062850116,3.93161872222222,2020.17992408266,2020-03-07,14
B.1.pruned_DTA_MCC_527,2,2020.21175694922,2020-03-19,2020.2349726776,2020.25136612022,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22837915699,2020.1937356186,2020.23118120349,2020.18387076156,15.1758315,2020.17029292873,2020-03-03,24
B.1.pruned_DTA_MCC_530,3,2020.22339135273,2020-03-23,2020.22950819672,2020.25683060109,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22339135273,2020.22339135273,2020.22339135273,2020.22339135273,10.3568831666667,2020.19509385774,2020-03-12,13
B.1.pruned_DTA_MCC_532,3,2020.24522562545,2020-03-31,2020.25409836066,2020.26229508197,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.24522562545,2020.24522562545,2020.24522562545,2020.24522562545,10.3568831666667,2020.21692813046,2020-03-20,14
B.1.pruned_DTA_MCC_533,9,2020.23521328673,2020-03-27,2020.24590163934,2020.28142076503,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.23521328673,2020.23521328673,2020.23521328673,2020.23521328673,3.93161872222222,2020.22447115907,2020-03-23,8
B.1.pruned_DTA_MCC_542,2,2020.22036059421,2020-03-22,2020.22950819672,2020.26229508197,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22944868423,2020.20335842111,2020.22948244767,2020.18323119673,15.1758315,2020.17889657372,2020-03-06,19
B.1.pruned_DTA_MCC_543,2,2020.20687795089,2020-03-17,2020.23224043716,2020.2868852459,B.1.pruned-DTA-20200818.combined.MCC.tree,0.5,2020.22932713258,2020.174625961,2020.23081715866,2020.15793921765,15.1758315,2020.1654139304,2020-03-02,24
