Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.1_DTA_MCC_472,40,39,4,03/04/2020,01/06/2020,59,73.19559858,11.48551338,0
B.1.1_DTA_MCC_982,40,40,5,16/04/2020,02/06/2020,47,72.66310612,8.339942922,0
B.1.pruned_DTA_MCC_12,40,25,11,01/03/2020,19/04/2020,49,316.794986,176.2839838,215.4829917
B.1.pruned_DTA_MCC_81,40,30,13,12/03/2020,07/05/2020,56,521.257175,176.1781909,179.6978035
B.1.pruned_DTA_MCC_342,39,36,11,19/03/2020,05/05/2020,47,532.9773625,270.8497322,337.0632831
B_DTA_MCC_20,38,36,14,27/02/2020,12/05/2020,75,584.2830071,251.0749638,229.5169497
B_DTA_MCC_106,38,38,9,11/03/2020,14/04/2020,34,319.4971586,105.9592622,101.6795109
B.1.pruned_DTA_MCC_131,38,34,10,18/03/2020,07/05/2020,50,686.7528549,343.2842171,350.8511708
B.1.pruned_DTA_MCC_776,38,38,7,15/04/2020,31/05/2020,46,502.1129628,123.0205031,14.21421548
B.1.1_DTA_MCC_352,37,33,14,30/03/2020,24/05/2020,55,491.1646328,154.5693471,55.57331325
B.1.1_DTA_MCC_368,37,19,9,02/03/2020,25/04/2020,54,578.222642,221.3435528,210.3311652
B.1.1_DTA_MCC_220,36,31,14,23/03/2020,04/06/2020,73,810.0458265,155.0416882,115.9255521
B.1.1_DTA_MCC_460,35,35,4,10/04/2020,03/06/2020,54,239.0823484,33.0125259,0
B.1.1_DTA_MCC_890,35,35,3,01/03/2020,20/05/2020,80,260.6969917,74.2927399,0
B.1.pruned_DTA_MCC_225,35,34,4,24/03/2020,05/05/2020,42,68.98505189,23.07567712,34.08567198
B.1.1_DTA_MCC_480,34,30,10,19/03/2020,30/04/2020,42,574.4557852,129.6102971,60.46586511
B.1.1_DTA_MCC_494,34,34,1,04/05/2020,19/05/2020,15,0,0,0
B.1.1_DTA_MCC_703,34,31,12,30/03/2020,12/05/2020,43,521.4932844,222.7428746,253.3993873
B.1.pruned_DTA_MCC_786,34,34,3,24/04/2020,22/06/2020,59,34.79561252,2.845556552,0
B.1.1_DTA_MCC_208,32,30,17,21/03/2020,27/05/2020,67,551.0910264,201.67079,186.7941698
B.1.1_DTA_MCC_112,31,30,3,13/03/2020,15/06/2020,94,342.4498687,41.88435686,0
B.1.1_DTA_MCC_204,31,29,15,23/03/2020,06/05/2020,44,577.6687194,245.8431756,202.9834728
B.1.1_DTA_MCC_218,31,25,9,17/03/2020,20/04/2020,34,615.8728701,171.1846302,46.39177489
B.1.X_DTA_MCC_37,31,30,6,29/03/2020,20/05/2020,52,149.6486157,45.16432737,60.25067048
B.1.X_DTA_MCC_324,31,31,6,18/03/2020,23/05/2020,66,194.7567054,49.39802669,34.79561252
B.1.1_DTA_MCC_311,30,29,11,23/03/2020,12/05/2020,50,492.3399449,197.1089739,226.7894488
B.1.pruned_DTA_MCC_168,30,30,3,22/03/2020,16/04/2020,25,60.46586511,21.82279581,25.27011789
B.1.pruned_DTA_MCC_236,30,27,7,21/03/2020,18/05/2020,58,538.5958946,145.097904,20.73490379
B.1.1_DTA_MCC_31,29,26,5,05/03/2020,03/05/2020,59,297.4135464,62.29659383,56.41931885
B.1.1_DTA_MCC_303,29,22,12,18/03/2020,14/05/2020,57,311.8590268,138.2777214,95.27640859
B.1.1_DTA_MCC_810,29,29,2,03/04/2020,16/05/2020,43,22.17290824,1.529166086,0
B.1.pruned_DTA_MCC_454,29,29,7,24/03/2020,19/05/2020,56,369.9360563,123.5182458,40.07994921
B.1.pruned_DTA_MCC_763,29,26,6,18/03/2020,23/05/2020,66,490.6938665,227.3997845,431.9620197
B.1.1_DTA_MCC_167,28,26,4,20/03/2020,27/05/2020,68,93.02988141,38.81744332,56.41931885
B.1.pruned_DTA_MCC_684,28,28,5,13/03/2020,24/04/2020,42,38.69417466,8.278914669,0
B.1.1_DTA_MCC_153,27,25,11,13/03/2020,04/05/2020,52,614.5202718,233.2923882,250.0128299
