"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"761",2020-03-11,"Sweden",78,325,10543.466121201,6608.19175771219,16087.6632212059,1607.75134382662,1146.9747775443,2226.25183905173,0,0,4.43237089498343,2.02033409812031,8.36780586850768,0.845237976755412,0.424033406420607,1.49920833812475,2.66332199591626,2.26289720438641,3.13423440968685
"762",2020-03-12,"Sweden",136,461,12438.0322758955,7984.13843309349,18665.1293485995,1894.56615469455,1375.9466753813,2577.46612739359,1,1,5.43841316825262,2.54548171840385,10.117321647619,1.00604227326919,0.525147620283542,1.74951577911131,2.662900451354,2.26256095894657,3.1338515001982
"763",2020-03-13,"Sweden",158,619,14669.5361699741,9626.44998924562,21649.2303675417,2231.50389407853,1642.31155615214,2984.10101894223,0,1,6.6325759213345,3.18524980385998,12.1485463120443,1.19416275308188,0.639768085456133,2.03122466442535,2.66240305313254,2.26217702726102,3.13338478137874
"764",2020-03-14,"Sweden",155,774,17297.7793847178,11596.7641806237,25163.3899492988,2628.24321474377,1970.31419137811,3514.15958175717,0,1,8.04788584671688,3.96903486703446,14.5132371303786,1.41530992538238,0.783785063174475,2.36469081833423,2.66181641302274,2.26173836322273,3.13281605298239
"765",2020-03-15,"Sweden",149,923,20393.6856342767,13936.3679364731,29288.245526206,3095.90624955891,2339.60375584938,4124.85557690718,0,1,9.7222999683542,4.92658877031989,17.2358375191372,1.67441412163732,0.957553903285432,2.72260038875864,2.66112454348604,2.26123705379822,3.13212310352285
"766",2020-03-16,"Sweden",108,1031,23975.8003050564,16709.5870544815,34027.0200512835,3582.11467077969,2773.21911800839,4738.77452507744,2,3,11.7008804701189,6.09527241076893,20.3761677297794,1.97858050176466,1.16868364044904,3.14033021064222,2.61545682248319,2.21788868051209,3.03817065280437
"767",2020-03-17,"Sweden",89,1120,28192.4823151614,19973.6959053693,39569.1040646544,4216.68201010494,3264.10885088779,5542.08401337099,4,7,14.0364177508222,7.51455181715133,23.9725918650221,2.33553728070337,1.4192794063824,3.59642413524268,2.61452883159278,2.21694586730532,3.0371922007639
"768",2020-03-18,"Sweden",46,1166,33149.3864708426,23803.2481366609,46090.1199739944,4956.90415568126,3829.55223129166,6521.01590933996,1,8,16.7915669859506,9.23044436944419,28.1339223993518,2.75514923512834,1.71589255229287,4.1613305343297,2.61343527565082,2.2159403359662,3.03607986065274
"769",2020-03-19,"Sweden",134,1300,38972.2928547272,28277.6971848771,53760.3121577182,5822.9063838846,4474.44904821612,7670.1921837238,2,10,20.0399082506843,11.3185123690758,32.9262889886102,3.24834126473374,2.0880679996316,4.79236658925836,2.61214827946951,2.21502670542575,3.0348233005555
"770",2020-03-20,"Sweden",122,1422,45810.9224504897,33495.4480881509,62821.0282538403,6838.62959576244,5217.75090327381,9060.71609612214,0,10,23.8674256589965,13.8365315550446,38.478050268157,3.82751740831224,2.51801918596878,5.55176127954679,2.61063464700672,2.2139850193965,3.03330200974978
